dataset,method,fraction_kept,insertion,deletion
20ng_bin,MI(label),0.75,0.8633461047254151,0.6245210727969349
20ng_bin,MI(label),0.875,0.8684546615581098,0.5887611749680716
20ng_bin,MI(label),1.0,0.8735632183908046,0.5031928480204342
20ng_bin,Surrogate-LR,0.0,0.5031928480204342,0.8582375478927203
20ng_bin,Surrogate-LR,0.125,0.8671775223499362,0.5849297573435505
20ng_bin,Surrogate-LR,0.25,0.8684546615581098,0.5606641123882503
20ng_bin,Surrogate-LR,0.375,0.8735632183908046,0.5504469987228607
20ng_bin,Surrogate-LR,0.5,0.8722860791826309,0.524904214559387
20ng_bin,Surrogate-LR,0.625,0.8697318007662835,0.5095785440613027
20ng_bin,Surrogate-LR,0.75,0.8735632183908046,0.508301404853129
20ng_bin,Surrogate-LR,0.875,0.8735632183908046,0.508301404853129
20ng_bin,Surrogate-LR,1.0,0.8735632183908046,0.5031928480204342
adult,ExCIR,0.0,0.8115467294503019,0.7752072883611424
adult,ExCIR,0.125,0.8115467294503019,0.7752072883611424
adult,ExCIR,0.25,0.8115467294503019,0.7752072883611424
adult,ExCIR,0.375,0.8308936431569249,0.7606715119254785
adult,ExCIR,0.5,0.8340669464633023,0.7606715119254785
adult,ExCIR,0.625,0.8340669464633023,0.7606715119254785
adult,ExCIR,0.75,0.8355000511823114,0.7606715119254785
adult,ExCIR,0.875,0.8435868563824342,0.7606715119254785
adult,ExCIR,1.0,0.8434844917596479,0.7606715119254785
adult,TreeGain,0.0,0.8115467294503019,0.7752072883611424
adult,TreeGain,0.125,0.8115467294503019,0.7752072883611424
adult,TreeGain,0.25,0.8115467294503019,0.7752072883611424
adult,TreeGain,0.375,0.8177909714402702,0.7737741836421332
adult,TreeGain,0.5,0.8220902855972976,0.7720339850547651
adult,TreeGain,0.625,0.8220902855972976,0.7720339850547651
adult,TreeGain,0.75,0.8377520728836114,0.7606715119254785
adult,TreeGain,0.875,0.8435868563824342,0.7606715119254785
adult,TreeGain,1.0,0.8434844917596479,0.7606715119254785
adult,PDP-var,0.0,0.8115467294503019,0.7752072883611424
adult,PDP-var,0.125,0.8115467294503019,0.7752072883611424
adult,PDP-var,0.25,0.8115467294503019,0.7752072883611424
adult,PDP-var,0.375,0.8121609171870202,0.7746954652472106
adult,PDP-var,0.5,0.8220902855972976,0.7720339850547651
adult,PDP-var,0.625,0.8220902855972976,0.7720339850547651
adult,PDP-var,0.75,0.8305865492885659,0.7649708260825059
adult,PDP-var,0.875,0.8306889139113522,0.7646637322141467
adult,PDP-var,1.0,0.8434844917596479,0.7606715119254785
adult,MI(pred),0.0,0.7606715119254785,0.8359095096734569
adult,MI(pred),0.125,0.7606715119254785,0.8359095096734569
adult,MI(pred),0.25,0.7606715119254785,0.8359095096734569
adult,MI(pred),0.375,0.7606715119254785,0.8305865492885659
adult,MI(pred),0.5,0.7606715119254785,0.8306889139113522
adult,MI(pred),0.625,0.7606715119254785,0.8306889139113522
adult,MI(pred),0.75,0.8305865492885659,0.7649708260825059
adult,MI(pred),0.875,0.8435868563824342,0.7606715119254785
adult,MI(pred),1.0,0.8434844917596479,0.7606715119254785
adult,MI(label),0.0,0.8115467294503019,0.7752072883611424
adult,MI(label),0.125,0.8115467294503019,0.7752072883611424
adult,MI(label),0.25,0.8115467294503019,0.7752072883611424
adult,MI(label),0.375,0.8121609171870202,0.7746954652472106
adult,MI(label),0.5,0.8220902855972976,0.7720339850547651
adult,MI(label),0.625,0.8220902855972976,0.7720339850547651
adult,MI(label),0.75,0.8305865492885659,0.7649708260825059
adult,MI(label),0.875,0.8435868563824342,0.7606715119254785
adult,MI(label),1.0,0.8434844917596479,0.7606715119254785
adult,Surrogate-LR,0.0,0.7606715119254785,0.8308936431569249
adult,Surrogate-LR,0.125,0.7606715119254785,0.8308936431569249
adult,Surrogate-LR,0.25,0.7606715119254785,0.8308936431569249
adult,Surrogate-LR,0.375,0.7606715119254785,0.8305865492885659
adult,Surrogate-LR,0.5,0.8220902855972976,0.7720339850547651
adult,Surrogate-LR,0.625,0.8220902855972976,0.7720339850547651
adult,Surrogate-LR,0.75,0.8305865492885659,0.7649708260825059
adult,Surrogate-LR,0.875,0.8435868563824342,0.7606715119254785
adult,Surrogate-LR,1.0,0.8434844917596479,0.7606715119254785
20ng_bin,ExCIR,0.0,0.5031928480204342,0.8722860791826309
20ng_bin,ExCIR,0.125,0.5031928480204342,0.8607918263090677
20ng_bin,ExCIR,0.25,0.5031928480204342,0.8607918263090677
20ng_bin,ExCIR,0.375,0.5031928480204342,0.7662835249042146
20ng_bin,ExCIR,0.5,0.5044699872286079,0.7318007662835249
20ng_bin,ExCIR,0.625,0.508301404853129,0.7318007662835249
20ng_bin,ExCIR,0.75,0.6679438058748404,0.7854406130268199
20ng_bin,ExCIR,0.875,0.8314176245210728,0.7662835249042146
20ng_bin,ExCIR,1.0,0.8735632183908046,0.5031928480204342
20ng_bin,TreeGain,0.0,0.5031928480204342,0.8582375478927203
20ng_bin,TreeGain,0.125,0.8735632183908046,0.5031928480204342
20ng_bin,TreeGain,0.25,0.8735632183908046,0.5031928480204342
20ng_bin,TreeGain,0.375,0.8735632183908046,0.5031928480204342
20ng_bin,TreeGain,0.5,0.8735632183908046,0.5031928480204342
20ng_bin,TreeGain,0.625,0.8735632183908046,0.5031928480204342
20ng_bin,TreeGain,0.75,0.8735632183908046,0.5031928480204342
20ng_bin,TreeGain,0.875,0.8735632183908046,0.5031928480204342
