dataset,repeat_idx,cir,jaccard@8,precision@8,spearman
20ng_bin,13,0.004560061939035467,0.33333333333330556,0.5,0.7607051900983692
20ng_bin,14,0.004522440642751837,0.23076923076921302,0.375,0.7688504284793322
adult,0,0.0002492106868507636,0.9999999999998334,1.0,0.942857142857143
adult,1,0.0002587856745184526,0.9999999999998334,1.0,0.942857142857143
adult,2,0.0002586371640880537,0.9999999999998334,1.0,0.942857142857143
adult,3,0.0002580590502298519,0.9999999999998334,1.0,0.942857142857143
adult,4,0.0002547659487620065,0.9999999999998334,1.0,0.942857142857143
adult,5,0.0002584742659619973,0.9999999999998334,1.0,0.942857142857143
adult,6,0.00025514327391238615,0.9999999999998334,1.0,0.942857142857143
adult,7,0.00025595462046809766,0.9999999999998334,1.0,0.942857142857143
adult,8,0.00025194215507760116,0.9999999999998334,1.0,0.942857142857143
adult,9,0.00025530653271930813,0.9999999999998334,1.0,0.942857142857143
adult,10,0.0002414032513869575,0.9999999999998334,1.0,0.942857142857143
adult,11,0.00025835394572641413,0.9999999999998334,1.0,0.942857142857143
adult,12,0.00025637945476068396,0.9999999999998334,1.0,0.942857142857143
adult,13,0.0002547393799286109,0.9999999999998334,1.0,0.942857142857143
adult,14,0.00025136959560328933,0.9999999999998334,1.0,0.942857142857143
20ng_bin,0,0.004904429311314252,0.23076923076921302,0.375,0.7745381433196878
20ng_bin,1,0.0042241786546276,0.33333333333330556,0.5,0.7632387495560553
20ng_bin,2,0.004577073933001161,0.23076923076921302,0.375,0.7729630451103878
20ng_bin,3,0.0048232748193609495,0.33333333333330556,0.5,0.7659729061297891
20ng_bin,4,0.0046533145580445415,0.33333333333330556,0.5,0.7629485965947479
20ng_bin,5,0.004157341926163999,0.33333333333330556,0.5,0.7625888087897622
20ng_bin,6,0.004698879239695028,0.23076923076921302,0.375,0.7618264653353531
20ng_bin,7,0.004343667621093768,0.33333333333330556,0.5,0.7627987819530003
20ng_bin,8,0.004558970270145005,0.14285714285713266,0.25,0.7630615392938708
20ng_bin,9,0.004433358785229114,0.33333333333330556,0.5,0.7597771376335746
20ng_bin,10,0.0048847567939448,0.23076923076921302,0.375,0.7732421718419858
20ng_bin,11,0.004419596361214236,0.23076923076921302,0.375,0.7627290028383915
20ng_bin,12,0.0045543078570461255,0.23076923076921302,0.375,0.7701529173851634
20ng_bin,13,0.004560061939035467,0.33333333333330556,0.5,0.7607051900983692
20ng_bin,14,0.004522440642751837,0.23076923076921302,0.375,0.7688504284793322
